title,publication_url,institution,institution_url,type,format,price
Architects Web Sites: Louis Sullivan Buildings Extant in Chicago ,http://www.artic.edu/research/louis-sullivan-buildings-extant-chicago,Art Institute of Chicago,http://www.artic.edu/research,Online exhibition,Website,0
Irving Penn Archives,http://www.artic.edu/aic/collections/exhibitions/IrvingPennArchives,Art Institute of Chicago,http://www.artic.edu/research,Online exhibition,Website,0
"Marion Mahony Griffin's Manuscript, The Magic of America",http://www.artic.edu/magicofamerica/,Art Institute of Chicago,http://www.artic.edu/research,Online exhibition,Website,0
Mary Reynolds Collection on Dada and Surrealism ,http://www.artic.edu/reynolds/,Art Institute of Chicago,http://www.artic.edu/research,Online exhibition,Website,0
James Ensor: The Temptation of Saint Anthony,https://publications.artic.edu/ensor/reader/temptationstanthony#section/289,Art Institute of Chicago,http://www.artic.edu/research,Collection catalog ,Website,0
Monet: Paintings and Drawings at the Art Institute of Chicago,https://publications.artic.edu/monet/reader/paintingsanddrawings#section/135470,Art Institute of Chicago,http://www.artic.edu/research,Collection catalog ,Website,0
Renoir: Paintings and Drawings at the Art Institute of Chicago,https://publications.artic.edu/renoir/reader/paintingsanddrawings#section/138973,Art Institute of Chicago,http://www.artic.edu/research,Collection catalog ,Website,0
Without Bounds or Limits: An Online Exhibition of the Plan of Chicago,http://www.artic.edu/aic/libraries/research/specialcollections/planofchicago/,Art Institute of Chicago,http://www.artic.edu/research,Online exhibition,Website,0
Dutch Paintings of the Seventeenth Century,http://www.nga.gov/content/ngaweb/research/online-editions/17th-century-dutch-paintings.html,National Gallery of Art,http://www.nga.gov/content/ngaweb/research/publications.html,Collection catalog ,Website,0
Research Online: Yogic Identities ,http://www.asia.si.edu/research/articles/yogic-identities.asp,Freer | Sackler ,http://www.asia.si.edu/research/publications.asp,Scholarly article,Website,0
Research Online: Under a Microscope,http://www.asia.si.edu/research/articles/minai-battle-plate.asp,Freer | Sackler ,http://www.asia.si.edu/research/publications.asp,Scholarly article,Website,0
Research Online: Cinematic Urbanism,http://www.asia.si.edu/research/articles/cinematic-urbanism.asp,Freer | Sackler ,http://www.asia.si.edu/research/publications.asp,Scholarly article,Website,0
Research Online: Documenting the Modern Oil City,http://www.asia.si.edu/research/articles/documenting-the-modern-oil-city.asp,Freer | Sackler ,http://www.asia.si.edu/research/publications.asp,Scholarly article,Website,0
Research Online: Istanbul in Black and White,http://www.asia.si.edu/research/articles/istanbul-in-black-and-white.asp,Freer | Sackler ,http://www.asia.si.edu/research/publications.asp,Scholarly article,Website,0
Research Online: Neoliberalizing People and Places in Egyptian Media ,http://www.asia.si.edu/research/articles/neoliberalizing-people-and-places.asp,Freer | Sackler ,http://www.asia.si.edu/research/publications.asp,Scholarly article,Website,0
Online Catalogues: Ceramics in Mainland Southeast Asia ,https://seasianceramics.asia.si.edu/,Freer | Sackler ,http://www.asia.si.edu/research/publications.asp,Collection catalog ,"Website, PDF",0
Online Catalogues: Song and Yuan Dynasty Painting and Calligraphy ,http://www.asia.si.edu/SongYuan/,Freer | Sackler ,http://www.asia.si.edu/research/publications.asp,Collection catalog ,Website,0
Online Catalogues: Korean Ceramics in the Freer Gallery of Art ,http://korean-ceramics.asia.si.edu/,Freer | Sackler ,http://www.asia.si.edu/research/publications.asp,Collection catalog ,Website,0
Online Catalogues: The World of the Japanese Illustrated Book,http://pulverer.si.edu/,Freer | Sackler ,http://www.asia.si.edu/research/publications.asp,Collection catalog ,Website,0
Occasional Papers Series ,http://www.asia.si.edu/research/occasional-papers.asp,Freer | Sackler ,http://www.asia.si.edu/research/publications.asp,Backlist,Website,0
82nd & Fifth,http://82nd-and-fifth.metmuseum.org/,MET,http://www.metmuseum.org/research/metpublications,Online exhibition,App,0
Art of the Islamic World: A Resource for Educators,http://www.metmuseum.org/learn/for-educators/publications-for-educators/art-of-the-islamic-world,MET,http://www.metmuseum.org/research/metpublications,Teaching resource,"Website, PDF",0
The Cesnola Collection of Cypriot Stone Sculpture ,http://www.metmuseum.org/research/metpublications/The_Cesnola_Collection_of_Cypriot_Stone_Sculpture,MET,http://www.metmuseum.org/research/metpublications,Collection catalog ,PDF,0
Connections ,http://www.metmuseum.org/connections/,MET,http://www.metmuseum.org/research/metpublications,Online exhibition,Website,0
Heilbrunn Timeline of Art History ,http://www.metmuseum.org/toah/,MET,http://www.metmuseum.org/research/metpublications,"Online exhibition, teaching resource ",Website,0
Lookings to Connect with European Paintings: Visual Approaches for Teaching in the Galleries ,http://www.metmuseum.org/research/metpublications/Looking_to_Connect_with_European_Paintings_Visual_Approaches_for_Teaching_in_the_Galleries?Tag=Online%20publications&title=&author=&pt=&tc=&dept=&fmt=#,MET,http://www.metmuseum.org/research/metpublications,Teaching resource ,PDF,0
The Met Around the World,http://www.metmuseum.org/met-around-the-world/,MET,http://www.metmuseum.org/research/metpublications,Online exhibition,Website,0
MetCollects,http://www.metmuseum.org/collection/metcollects,MET,http://www.metmuseum.org/research/metpublications,"Collection catalog, serial ",Website,0
One Met. Many Worlds. ,http://www.metmuseum.org/one-met-many-worlds/,MET,http://www.metmuseum.org/research/metpublications,Collection catalog ,Website,0
MET Publications ,http://www.metmuseum.org/research/metpublications/titles-with-full-text-online?searchtype=F,MET,http://www.metmuseum.org/research/metpublications,Backlist,PDF,0
Art Bulletin,http://www.metmuseum.org/research/metpublications/mma-bulletins?searchtype=C&pt={05598FA1-8F02-4579-A088-9F7BC7165316},MET,http://www.metmuseum.org/research/metpublications,Backlist,PDF,0
